pc1,pc2,PATTERN-NAME
1.935003705,2.89599826,Hot2
2.177342438,2.802056799,Hot2
2.192149008,2.812244734,Hot2
1.928382214,2.471351545,Hot2
1.845041378,2.369251948,Hot2
1.966174369,3.062142728,Hot2
2.130819913,3.500187969,Hot2
1.63469136,2.39128688,Hot2
2.512015041,2.977842826,Hot2
1.950185097,1.530378959,Hot2
2.869242114,3.414793468,Hot2
1.42510211,1.392427919,Hot2
1.9499776,2.547743466,Hot2
1.899115499,2.332535641,Hot2
1.696319321,1.893117915,Hot2
2.029168929,2.153603862,Hot2
1.718783414,3.411783589,Hot2
2.470161856,1.903945024,Hot2
2.131946331,2.313928493,Hot2
2.064479933,2.968253045,Hot2
2.719819289,2.946625845,Hot2
2.533273402,2.982361617,Hot2
2.333856391,3.022379189,Hot2
1.839307805,2.071584499,Hot2
2.507670026,3.864794658,Hot2
1.560272354,2.829869513,Hot2
2.180379494,2.067833372,Hot2
2.018565063,2.471970754,Hot2
1.81341584,2.099145475,Hot2
1.907678087,2.495079178,Hot2
1.971366428,2.021037579,Hot2
2.142394535,2.405762834,Hot2
1.550788552,2.593299415,Hot2
2.389805356,3.605615864,Hot2
1.989883135,2.149900421,Hot2
2.380147927,3.153390872,Hot2
2.776961743,3.415600318,Hot2
2.272353342,2.752810475,Hot2
2.25447921,2.143568758,Hot2
1.923867576,3.111138917,Hot2
2.135428233,2.802810838,Hot2
2.1017948,2.587483279,Hot2
1.955203979,3.64541727,Hot2
2.580522373,3.672639528,Hot2
1.976497431,2.977737046,Hot2
2.324816848,2.492609284,Hot2
2.152978079,2.754370854,Hot2
1.888372798,1.741225308,Hot2
2.06316897,2.822378411,Hot2
2.026769056,2.687596313,Hot2
2.539267304,3.476603828,Hot2
1.993433036,2.165782141,Hot2
1.837115058,2.589990467,Hot2
2.727986044,2.91553983,Hot2
2.43255856,2.355274169,Hot2
2.246816689,2.226604996,Hot2
2.557444142,2.769849077,Hot2
1.321200703,1.888927959,Hot2
1.937806745,2.230571134,Hot2
2.369294534,2.936230346,Hot2
2.70055011,3.667449956,Hot2
1.917575964,3.046538476,Hot2
1.909754172,1.990894815,Hot2
2.174580364,3.182452402,Hot2
1.945569816,1.957605327,Hot2
1.599184667,2.379695866,Hot2
1.821723205,2.768463678,Hot2
2.122433917,3.253784086,Hot2
2.01627926,3.392360564,Hot2
1.925930943,2.002302328,Hot2
2.745989962,3.191446077,Hot2
2.094537119,3.64481394,Hot2
1.745807722,2.241767212,Hot2
2.676129346,2.906332909,Hot2
2.151781336,2.948736943,Hot2
1.790998549,2.951158951,Hot2
2.236788716,2.995946956,Hot2
2.636118601,2.774378517,Hot2
4.035245016,1.951586429,Hot2
2.206165915,3.172917651,Hot2
1.739974928,3.075249165,Hot2
2.606574151,2.742252732,Hot2
2.330610602,2.223939673,Hot2
2.562759226,3.306062018,Hot2
2.279727179,3.082625118,Hot2
2.037227604,2.72634911,Hot2
2.122476623,2.676278732,Hot2
2.29371493,2.050241671,Hot2
1.997352241,2.186976508,Hot2
2.475600936,5.076984591,Hot2
1.943566337,3.050403022,Hot2
2.135886966,3.276773725,Hot2
2.135099683,2.413915329,Hot2
1.6612035,1.83622614,Hot2
2.678281455,3.728673968,Hot2
2.324082463,3.839511509,Hot2
1.671595628,2.462469889,Hot2
2.283748466,3.568926286,Hot2
1.993216518,2.73152107,Hot2
2.50697297,3.218601325,Hot2
2.18132971,2.36064422,Hot2
2.525218718,3.289178809,Hot2
1.83377487,2.384855397,Hot2
2.436580529,2.926939267,Hot2
2.618056641,3.289247384,Hot2
2.342848442,2.736920991,Hot2
2.347111686,2.717713299,Hot2
2.795011046,3.902614292,Hot2
2.14638302,3.062449708,Hot2
2.021346026,3.06741895,Hot2
2.015996942,3.325628849,Hot2
2.805912771,3.545430585,Hot2
1.688707204,1.966991397,Hot2
1.472794718,2.067445696,Hot2
2.772465123,3.524938522,Hot2
2.02233097,3.385522425,Hot2
1.949251163,3.043560611,Hot2
2.132293503,2.747806441,Hot2
2.332349746,2.391684939,Hot2
1.977837434,2.437516407,Hot2
2.33192135,2.665067419,Hot2
2.245722138,2.37148476,Hot2
2.862119162,3.377176799,Hot2
2.09750327,3.218530261,Hot2
2.061575466,2.000059469,Hot2
2.546787828,3.102673986,Hot2
2.326400751,2.997193463,Hot2
2.444770753,3.99484596,Hot2
2.505388368,2.744650447,Hot2
2.161684321,2.1058764,Hot2
1.541314089,1.432137807,Hot2
2.117227736,2.766466564,Hot2
2.609172816,3.001948101,Hot2
2.157837833,3.06687672,Hot2
2.039050611,2.387584262,Hot2
2.656389639,4.610436481,Hot2
1.965636034,2.165613178,Hot2
2.391723,2.764327291,Hot2
1.467971389,1.867646986,Hot2
2.268124008,2.386250419,Hot2
2.371983524,2.615604278,Hot2
1.615173831,1.409435549,Hot2
4.154448096,1.98250306,Hot2
2.105198255,3.191297959,Hot2
2.45746667,2.853359448,Hot2
2.165105441,2.27325567,Hot2
2.089496942,4.03281861,Hot2
2.014431828,2.545347898,Hot2
1.815601239,2.090307711,Hot2
2.247757846,3.292829487,Hot2
2.456062419,2.925494036,Hot2
1.927542993,2.80369679,Hot2
2.372637163,4.019772689,Hot2
2.057483703,1.784473088,Hot2
2.291000508,2.872713146,Hot2
1.816229569,2.919865942,Hot2
1.743442187,2.666755622,Hot2
2.660012711,2.641761544,Hot2
2.395924226,2.727299369,Hot2
3.766805123,1.761436846,Hot2
2.691547985,3.511352373,Hot2
1.876656382,3.054310183,Hot2
1.849836892,2.915112093,Hot2
2.599954118,3.129880816,Hot2
1.973966619,3.162210729,Hot2
2.227660876,2.164470688,Hot2
2.621699064,3.065127651,Hot2
1.852583523,2.812677961,Hot2
2.424758335,3.028191926,Hot2
