x,y,z,Cluster
1.93500370523255,2.8959982600371164,Hot2,1
2.1773424383542386,2.8020567992799834,Hot2,1
2.192149007704102,2.8122447344588952,Hot2,1
1.928382213917207,2.471351544749146,Hot2,1
1.8450413783611554,2.3692519481096626,Hot2,1
1.9661743691618954,3.062142727551221,Hot2,1
2.130819912779139,3.500187968639259,Hot2,1
1.6346913600921886,2.39128688041979,Hot2,1
2.5120150412105087,2.9778428263609085,Hot2,1
1.9501850969894328,1.5303789588946712,Hot2,1
2.8692421142437214,3.4147934678161147,Hot2,1
1.4251021103555594,1.3924279188473356,Hot2,1
1.949977600080617,2.547743466037029,Hot2,1
1.8991154994350419,2.3325356406257414,Hot2,1
1.6963193214604415,1.8931179153745425,Hot2,1
2.0291689285654484,2.1536038621981293,Hot2,1
1.7187834137842297,3.4117835888781682,Hot2,1
2.470161855715231,1.903945023620454,Hot2,1
2.131946331349687,2.313928493318588,Hot2,1
2.064479933442586,2.968253045322742,Hot2,1
2.7198192890501933,2.946625844757978,Hot2,1
2.533273401722977,2.9823616166308264,Hot2,1
2.333856390531751,3.0223791894673093,Hot2,1
1.839307805494247,2.0715844986656866,Hot2,1
2.507670026155176,3.8647946575859375,Hot2,1
1.5602723536231156,2.8298695134148657,Hot2,1
2.1803794942907766,2.0678333717125423,Hot2,1
2.0185650631798833,2.471970754476369,Hot2,1
1.8134158395139464,2.099145475040398,Hot2,1
1.9076780867454173,2.4950791778283237,Hot2,1
1.9713664281178915,2.0210375786537695,Hot2,1
2.1423945348374627,2.405762834073491,Hot2,1
1.5507885515039894,2.593299415188391,Hot2,1
2.389805355532406,3.605615863743856,Hot2,1
1.9898831352073336,2.149900420587927,Hot2,1
2.3801479270809525,3.153390872286298,Hot2,1
2.7769617430151836,3.415600318174261,Hot2,1
2.272353341760258,2.752810474763338,Hot2,1
2.254479210009089,2.14356875761818,Hot2,1
1.9238675755747374,3.1111389169522026,Hot2,1
2.1354282325609457,2.8028108378954535,Hot2,1
2.10179480038043,2.587483279220387,Hot2,1
1.955203979111164,3.6454172696514413,Hot2,1
2.5805223731664446,3.6726395276659645,Hot2,1
1.9764974310712935,2.977737046364308,Hot2,1
2.324816847518257,2.492609283707224,Hot2,1
2.1529780794280216,2.754370853843283,Hot2,1
1.8883727978122595,1.7412253075545183,Hot2,1
2.063168969821875,2.8223784114465835,Hot2,1
2.0267690556724416,2.6875963127007214,Hot2,1
2.5392673041569815,3.476603827738641,Hot2,1
1.9934330357619239,2.165782141370031,Hot2,1
1.8371150581908517,2.589990466665297,Hot2,1
2.727986044388942,2.9155398303076514,Hot2,1
2.4325585602563575,2.355274168540503,Hot2,1
2.246816689126689,2.2266049964586694,Hot2,1
2.5574441415442464,2.7698490771289834,Hot2,1
1.321200703387003,1.8889279587752095,Hot2,1
1.93780674505074,2.2305711335409444,Hot2,1
2.369294533597586,2.9362303461273815,Hot2,1
