%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME,PATTERN-NAME,PATTERN-NO
0,147340,147340,29,0,72755503,2204825,100,257205,java/lang/Object@00000007FFE03F70,Sim,8
0,184559,184559,30,0,72923412,2201411,100,205206,java/lang/Object@00000007FFF68A98,Sim,8
0,147259,147259,21,0,72370376,2192332,100,257212,java/lang/Object@00000007FFF68988,Sim,8
0,152475,152475,24,0,72361359,2196545,100,248600,java/lang/Object@00000007FFF68A90,Sim,8
0,181313,181313,34,0,72772309,2172593,100,208815,java/lang/Object@00000007FFF68C40,Sim,8
0,161051,161051,27,0,72700629,2184022,100,235205,java/lang/Object@00000007FFF688B8,Sim,8
0,146120,146120,24,0,73003731,2194255,100,259368,java/lang/Object@00000007FFF68A78,Sim,8
0,169065,169065,19,0,72818376,2187935,100,224057,java/lang/Object@00000007FFF66C40,Sim,8
0,167041,167041,22,0,72572367,2158426,100,226732,java/lang/Object@00000007FFF688B8,Sim,8
0,135714,135714,22,0,72856782,2227818,100,279193,java/lang/Object@00000007FFF68C48,Sim,8
0,137482,137482,16,0,72661166,2190581,100,275773,java/lang/Object@00000007FFF68A78,Sim,8
0,169931,169931,17,0,72577254,2196246,100,222962,java/lang/Object@00000007FFF68908,Sim,8
0,179902,179902,25,0,72730001,2163769,100,210545,java/lang/Object@00000007FFF689C0,Sim,8
0,144620,144620,24,0,72380837,2206887,100,262002,java/lang/Object@00000007FFF688E8,Sim,8
0,140377,140377,34,0,72745362,2209388,100,269932,java/lang/Object@00000007FFF688C0,Sim,8
0,139775,139775,18,0,72223382,2208751,100,271181,java/lang/Object@00000007FFF68C70,Sim,8
0,153842,153842,19,0,72604339,2205181,100,246425,java/lang/Object@00000007FFF67148,Sim,8
0,138608,138608,13,0,72468553,2201436,100,273515,java/lang/Object@00000007FFF68BF8,Sim,8
0,147472,147472,29,0,72889502,2208928,100,257038,java/lang/Object@00000007FFF689A0,Sim,8
0,159888,159888,18,0,72368959,2206481,100,237038,java/lang/Object@00000007FFF66AC0,Sim,8
0,139902,139902,30,0,72477676,2218939,100,270906,java/lang/Object@00000007FFE04460,Sim,8
0,157387,157387,24,0,72545512,2185329,100,240787,java/lang/Object@00000007FFF68B00,Sim,8
0,157730,157730,30,0,74218451,2246564,100,240283,java/lang/Object@00000007FFF688B8,Sim,8
0,152467,152467,19,0,72643867,2193598,100,248622,java/lang/Object@00000007FFF68938,Sim,8
0,152411,152411,36,0,72492139,2201580,100,248684,java/lang/Object@00000007FFF68AB0,Sim,8
0,139824,139824,25,0,72656117,2220890,100,271082,java/lang/Object@00000007FFF688C0,Sim,8
0,181895,181895,31,0,73028538,2189982,100,208144,java/lang/Object@00000007FFF68930,Sim,8
0,142461,142461,19,0,72532641,2194241,100,266073,java/lang/Object@00000007FFE074B8,Sim,8
0,152575,152575,24,0,73175240,2227274,100,248373,java/lang/Object@00000007FFF689F0,Sim,8
0,157595,157595,28,0,72474760,2197259,100,240432,java/lang/Object@00000007FFF68930,Sim,8
0,174983,174983,25,0,73160019,2207940,100,216504,java/lang/Object@00000007FFE07978,Sim,8
0,179631,179631,25,0,72677118,2147932,100,210874,java/lang/Object@00000007FFF68A00,Sim,8
0,182219,182219,36,0,72642570,2183789,100,207727,java/lang/Object@00000007FFE07538,Sim,8
0,152106,152106,18,0,70583790,2131733,100,249214,java/lang/Object@00000007FFF671A0,Sim,8
0,164528,164528,34,0,72538210,2208711,100,230191,java/lang/Object@00000007FFF688B8,Sim,8
0,177458,177458,29,0,73149814,2203929,100,213371,java/lang/Object@00000007FFF689A8,Sim,8
0,175098,175098,27,0,75296084,2273668,100,216370,java/lang/Object@00000007FFE06F18,Sim,8
0,146976,146976,17,0,72607606,2186415,100,257907,java/lang/Object@00000007FFF688C0,Sim,8
0,154435,154435,41,0,73122711,2229756,100,245304,java/lang/Object@00000007FFF688C0,Sim,8
0,152485,152485,21,0,72799998,2205862,100,248574,java/lang/Object@00000007FFF670D0,Sim,8
0,179835,179835,26,0,72162425,2152294,100,210605,java/lang/Object@00000007FFF68930,Sim,8
0,163995,163995,7,0,72588366,2202053,100,231125,java/lang/Object@00000007FFF688B8,Sim,8
0,137137,137137,17,0,72554516,2181781,100,276250,java/lang/Object@00000007FFF688C0,Sim,8
0,144439,144439,19,0,72378223,2207849,100,262283,java/lang/Object@00000007FFF688C0,Sim,8
0,159789,159789,42,0,72496996,2209571,100,237120,java/lang/Object@00000007FFF689D0,Sim,8
0,142415,142415,30,0,73054261,2202289,100,266158,java/lang/Object@00000007FFF68A28,Sim,8
0,153607,153607,25,0,72909294,2216231,100,246683,java/lang/Object@00000007FFF688C0,Sim,8
0,178356,178356,21,0,72624711,2150257,100,212448,java/lang/Object@00000007FFF689A8,Sim,8
0,147176,147176,19,0,72309780,2187200,100,257423,java/lang/Object@00000007FFF688C0,Sim,8
0,169156,169156,19,0,72107506,2166024,100,223921,java/lang/Object@00000007FFF68C40,Sim,8
0,175157,175157,43,0,72937814,2207541,100,216261,java/lang/Object@00000007FFF68B78,Sim,8
0,143153,143153,16,0,72271913,2192142,100,264832,java/lang/Object@00000007FFF68AF0,Sim,8
0,161083,161083,28,0,72557744,2172097,100,235294,java/lang/Object@00000007FFF688E0,Sim,8
0,172267,172267,27,0,72289249,2194434,100,219885,java/lang/Object@00000007FFF688B8,Sim,8
0,165071,165071,25,0,72913584,2224655,100,229462,java/lang/Object@00000007FFF68930,Sim,8
0,171991,171991,24,0,72482162,2196986,100,220184,java/lang/Object@00000007FFF688E0,Sim,8
0,169714,169714,22,0,72398221,2182788,100,223286,java/lang/Object@00000007FFF66B00,Sim,8
0,158831,158831,24,0,72520395,2201117,100,238634,java/lang/Object@00000007FFF688B8,Sim,8
0,135092,135092,11,0,72621753,2214011,100,280703,java/lang/Object@00000007FFF68918,Sim,8
0,140075,140075,19,0,72808397,2233792,100,270630,java/lang/Object@00000007FFF68A18,Sim,8
0,145455,145455,14,0,72670364,2179910,100,260657,java/lang/Object@00000007FFF68910,Sim,8
0,144774,144774,19,0,72500067,2212931,100,261671,java/lang/Object@00000007FFF67308,Sim,8
0,139571,139571,21,0,72156734,2207346,100,271554,java/lang/Object@00000007FFF68938,Sim,8
0,169983,169983,28,0,72751015,2207033,100,222863,java/lang/Object@00000007FFF66C68,Sim,8
0,142802,142802,20,0,73828886,2238787,100,265452,java/lang/Object@00000007FFE039B0,Sim,8
0,162336,162336,26,0,72981563,2195515,100,233370,java/lang/Object@00000007FFE0A628,Sim,8
0,167332,167332,22,0,72875380,2173751,100,226416,java/lang/Object@00000007FFE06D50,Sim,8
0,164186,164186,22,0,71644298,2171054,100,230685,java/lang/Object@00000007FFE04298,Sim,8
0,149375,149375,31,0,74433916,2271341,100,253794,java/lang/Object@00000007FFE0A920,Sim,8
0,172560,172560,25,0,73499212,2200459,100,219568,java/lang/Object@00000007FFF68B00,Sim,8
0,151643,151643,31,0,71721824,2166724,100,249777,java/lang/Object@00000007FFF68AA0,Sim,8
0,152300,152300,22,0,72694526,2193384,100,248836,java/lang/Object@00000007FFF689E0,Sim,8
0,152402,152402,30,0,72445195,2196842,100,248666,java/lang/Object@00000007FFF68A78,Sim,8
0,137368,137368,14,0,72698225,2183560,100,275982,java/lang/Object@00000007FFF68938,Sim,8
0,149821,149821,20,0,72404779,2213860,100,252995,java/lang/Object@00000007FFF689D8,Sim,8
0,134970,134970,24,0,72328355,2200786,100,280925,java/lang/Object@00000007FFF68938,Sim,8
0,147258,147258,26,0,72111940,2187804,100,257374,java/lang/Object@00000007FFF68B68,Sim,8
0,134833,134833,13,0,72078802,2195116,100,281136,java/lang/Object@00000007FFF68C20,Sim,8
0,182145,182145,26,0,72853533,2178243,100,207871,java/lang/Object@00000007FFF68930,Sim,8
0,150011,150011,28,0,72590936,2179546,100,252693,java/lang/Object@00000007FFF688C0,Sim,8
0,144609,144609,27,0,72664741,2217818,100,261931,java/lang/Object@00000007FFF68AB8,Sim,8
0,139504,139504,33,0,72320050,2203622,100,271620,java/lang/Object@00000007FFF68AB8,Sim,8
0,162324,162324,21,0,72856358,2186273,100,233464,java/lang/Object@00000007FFF68B00,Sim,8
0,179536,179536,20,0,72038320,2134114,100,210942,java/lang/Object@00000007FFF66C68,Sim,8
0,152505,152505,24,0,72367188,2192092,100,248487,java/lang/Object@00000007FFE04590,Sim,8
0,149810,149810,28,0,72795301,2220710,100,252885,java/lang/Object@00000007FFF68988,Sim,8
0,149694,149694,26,0,71956030,2198546,100,253141,java/lang/Object@00000007FFE0A6C0,Sim,8
0,149900,149900,24,0,72507224,2215571,100,252872,java/lang/Object@00000007FFF68988,Sim,8
0,164634,164634,32,0,72361052,2200670,100,230123,java/lang/Object@00000007FFF689A8,Sim,8
0,139916,139916,17,0,72594790,2219457,100,270941,java/lang/Object@00000007FFF68A78,Sim,8
0,167646,167646,21,0,72714398,2180271,100,226073,java/lang/Object@00000007FFE046C0,Sim,8
0,139624,139624,18,0,72110644,2200023,100,271431,java/lang/Object@00000007FFF67238,Sim,8
0,137511,137511,20,0,73073357,2207708,100,275578,java/lang/Object@00000007FFF688E8,Sim,8
0,149558,149558,27,0,72271728,2206111,100,253388,java/lang/Object@00000007FFF688C0,Sim,8
0,161793,161793,30,0,72031444,2169825,100,234097,java/lang/Object@00000007FFF688B8,Sim,8
0,167469,167469,29,0,72989041,2189063,100,226206,java/lang/Object@00000007FFF688E0,Sim,8
0,150994,150994,24,0,72450363,2178525,100,251021,java/lang/Object@00000007FFE03E28,Sim,8
0,174882,174882,28,0,72507631,2189209,100,216632,java/lang/Object@00000007FFF68AE8,Sim,8
0,158433,158433,33,0,72073991,2187014,100,239180,java/lang/Object@00000007FFF68A98,Sim,8
0,173303,173303,27,0,72380970,2167240,100,218589,java/lang/Object@00000007FFF68A88,Sim,8
0,152370,152370,46,0,72363540,2191754,100,248737,java/lang/Object@00000007FFF68B58,Sim,8
0,154814,154814,30,0,72887257,2214781,100,244651,java/lang/Object@00000007FFF688E8,Sim,8
0,159862,159862,31,0,72894973,2217102,100,236970,java/lang/Object@00000007FFF66C40,Sim,8
0,156308,156308,41,0,72258946,2168554,100,242348,java/lang/Object@00000007FFF689D0,Sim,8
0,162355,162355,22,0,72570061,2175042,100,233439,java/lang/Object@00000007FFF67190,Sim,8
0,177606,177606,14,0,73461498,2233722,100,213345,java/lang/Object@00000007FFF672A0,Sim,8
0,183966,183966,26,0,72870710,2199088,100,205920,java/lang/Object@00000007FFF68A98,Sim,8
0,164176,164176,17,0,72547666,2201996,100,230860,java/lang/Object@00000007FFF68AE8,Sim,8
0,152554,152554,15,0,72550994,2197340,100,248475,java/lang/Object@00000007FFF689A0,Sim,8
0,152320,152320,39,0,72573165,2197729,100,248647,java/lang/Object@00000007FFF68B58,Sim,8
0,159873,159873,26,0,72618519,2211331,100,237044,java/lang/Object@00000007FFF68B50,Sim,8
0,177491,177491,18,0,72551007,2193859,100,213387,java/lang/Object@00000007FFF689B0,Sim,8
0,179714,179714,35,0,72389422,2148729,100,210745,java/lang/Object@00000007FFF67198,Sim,8
