%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME,PATTERN-NAME,PATTERN-NO
4,62399,62399,2666,0,61508975,1889753,99,603998,java/lang/Object@000000060A261600,Hot2,2
3,59703,59703,1709,0,50382385,1543795,99,632435,java/lang/Object@000000060A25B758,Hot2,2
5,66863,66863,3253,0,71048181,2185169,99,561918,java/lang/Object@000000060A261738,Hot2,2
3,70401,70401,1835,0,54265830,1660748,99,535454,java/lang/Object@000000060A2616C0,Hot2,2
5,60512,60512,2766,0,62203470,1912155,99,622930,java/lang/Object@000000060A25E648,Hot2,2
4,75443,75443,3042,0,68831054,2112437,99,499089,java/lang/Object@000000060A25E2B0,Hot2,2
5,65532,65532,3159,0,70771089,2177481,99,574280,java/lang/Object@000000060A261698,Hot2,2
5,64409,64409,3074,0,61233489,1879651,99,585730,java/lang/Object@000000060A25BD20,Hot2,2
4,63502,63502,2515,0,61574911,1890950,99,593678,java/lang/Object@000000060A25B970,Hot2,2
4,62890,62890,2687,0,62276731,1913397,99,599259,java/lang/Object@000000060A2616C0,Hot2,2
3,78893,78893,2725,0,72573083,2227737,99,477553,java/lang/Object@000000060A25BAB0,Hot2,2
5,65543,65543,3024,0,62379125,1915049,99,575715,java/lang/Object@000000060A25B568,Hot2,2
4,61147,61147,2156,0,57023463,1750872,99,617103,java/lang/Object@000000060A25B3A0,Hot2,2
4,78450,78450,2945,0,75771438,2327413,99,479880,java/lang/Object@000000060A258670,Hot2,2
4,69702,69702,2942,0,66510085,2042538,99,540909,java/lang/Object@000000060A25E338,Hot2,2
3,76961,76961,2648,0,65991177,2022674,99,490456,java/lang/Object@000000060A25BDA8,Hot2,2
4,62343,62343,2289,0,54312486,1665082,99,604878,java/lang/Object@000000060A25E3E8,Hot2,2
4,69345,69345,2648,0,65024048,1996172,99,543440,java/lang/Object@000000060A25B600,Hot2,2
4,68624,68624,2643,0,63488792,1948410,99,549502,java/lang/Object@000000060A25B418,Hot2,2
3,77785,77785,2556,0,72270448,2218784,99,485083,java/lang/Object@000000060A25BDB8,Hot2,2
4,63737,63737,2306,0,57476652,1762588,99,591672,java/lang/Object@000000060A25BDA8,Hot2,2
4,63139,63139,2252,0,62632081,1925265,99,598104,java/lang/Object@000000060A25E658,Hot2,2
3,66141,66141,2211,0,57215532,1754546,99,569961,java/lang/Object@000000060A25E328,Hot2,2
3,60253,60253,1783,0,50719369,1553416,99,626292,java/lang/Object@000000060A261850,Hot2,2
5,59793,59793,2781,0,61434367,1888595,99,630328,java/lang/Object@000000060A25E2B8,Hot2,2
5,61366,61366,3006,0,64832404,1994103,99,614422,java/lang/Object@000000060A25E2B8,Hot2,2
5,71745,71745,3389,0,72341692,2223247,99,525441,java/lang/Object@000000060A2614D0,Hot2,2
4,74515,74515,3104,0,63883597,1958036,99,506146,java/lang/Object@000000060A25E740,Hot2,2
5,67280,67280,3325,0,70732103,2174634,99,558812,java/lang/Object@000000060A261720,Hot2,2
4,70608,70608,2985,0,65436818,2008769,99,533011,java/lang/Object@000000060A261720,Hot2,2
