%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME
0,120790,120790,67,0,71013075,2163271,100,313617,java/lang/Boolean@000000060A25B828
0,142080,142080,94,0,70882984,2144909,100,266479,java/lang/Boolean@000000060A25DF98
0,126809,126809,108,0,69830650,2122597,100,298625,java/lang/Boolean@000000060A25DE08
0,144104,144104,70,0,70513021,2134294,99,262364,java/lang/Boolean@000000060A25BA78
0,121467,121467,116,0,71174593,2167467,100,311848,java/lang/Boolean@000000060A25E5C0
0,120939,120939,63,0,71488931,2177315,100,313002,java/lang/Boolean@000000060A25BB48
0,127907,127907,91,0,70515664,2142893,100,295821,java/lang/Boolean@000000060A25E458
0,127062,127062,83,0,69122545,2100551,100,297857,java/lang/Boolean@000000060A25BDA8
0,148923,148923,109,0,71181715,2155854,100,254019,java/lang/Boolean@000000060A25BA18
0,150113,150113,107,0,70743787,2137821,100,252060,java/lang/Boolean@000000060A25DF28
0,123093,123093,77,0,70754610,2151800,100,307826,java/lang/Boolean@000000060A261600
0,131972,131972,69,0,71377559,2168042,100,286970,java/lang/Boolean@000000060A25E610
0,127576,127576,66,0,70213153,2134484,100,296918,java/lang/Boolean@000000060A25B990
0,133808,133808,75,0,71672432,2173224,100,283138,java/lang/Boolean@000000060A25E448
0,120820,120820,89,0,70850570,2157651,100,313529,java/lang/Boolean@000000060A258988
0,141165,141165,56,0,71228757,2155620,100,268398,java/lang/Boolean@000000060A2588D0
0,137844,137844,80,0,70576323,2138276,100,274727,java/lang/Boolean@000000060A25E6E0
0,132127,132127,98,0,70910660,2151568,100,286443,java/lang/Boolean@000000060A25B8B0
0,137479,137479,107,0,71493485,2168425,100,275544,java/lang/Boolean@000000060A25B270
0,130609,130609,68,0,70453355,2139283,100,289981,java/lang/Boolean@000000060A25BD80
0,141403,141403,79,0,72215611,2190806,100,267855,java/lang/Boolean@000000060A25E068
0,149972,149972,78,0,71644822,2165644,100,252380,java/lang/Boolean@000000060A258978
0,140042,140042,84,0,72226663,2190068,100,270276,java/lang/Boolean@000000060A25BD48
0,119704,119704,79,0,70487531,2146904,100,316437,java/lang/Boolean@000000060A25B990
0,149271,149271,88,0,71678109,2168724,99,253249,java/lang/Boolean@000000060A25E0F0
0,120031,120031,70,0,70500970,2146352,100,315558,java/lang/Boolean@000000060A25B428
0,153995,153995,108,0,71463191,2158986,100,245687,java/lang/Boolean@000000060A2617B8
0,132055,132055,67,0,70540932,2142535,100,286816,java/lang/Boolean@000000060A25BD10
0,125390,125390,75,0,69402703,2107567,100,302008,java/lang/Boolean@000000060A258558
0,120804,120804,63,0,69392199,2110471,100,313449,java/lang/Boolean@000000060A25B3A0
0,155324,155324,95,0,71421041,2157090,100,243681,java/lang/Boolean@000000060A25B958
0,141108,141108,90,0,71668527,2168378,100,268330,java/lang/Boolean@000000060A25E360
0,142967,142967,102,0,71170076,2154796,100,264806,java/lang/Boolean@000000060A258920
0,149444,149444,105,0,71340433,2158399,100,253203,java/lang/Boolean@000000060A25B7D0
0,139743,139743,93,0,70391951,2133137,100,270972,java/lang/Boolean@000000060A25E848
0,120026,120026,69,0,71089825,2163051,100,315444,java/lang/Boolean@000000060A258920
0,141711,141711,88,0,71611152,2168053,100,267058,java/lang/Boolean@000000060A25B8B0
0,153156,153156,100,0,71143730,2148904,100,247159,java/lang/Boolean@000000060A25BCE8
0,123785,123785,84,0,71269813,2167613,100,306129,java/lang/Boolean@000000060A25B6B0
0,119958,119958,72,0,71510549,2175590,100,315731,java/lang/Boolean@000000060A25E5B0
0,139196,139196,113,0,69424521,2102718,100,271898,java/lang/Boolean@000000060A25BCE8
0,135027,135027,78,0,70236801,2131039,100,280255,java/lang/Boolean@000000060A25B530
0,149412,149412,80,0,70982533,2147966,100,253274,java/lang/Boolean@000000060A25E620
0,149399,149399,66,0,70002227,2114111,100,253304,java/lang/Boolean@000000060A25B688
0,149669,149669,60,0,70633354,2135686,100,252985,java/lang/Boolean@000000060A25B438
0,140103,140103,65,0,71109140,2156391,100,270349,java/lang/Boolean@000000060A261850
0,152347,152347,111,0,71281247,2154294,99,248237,java/lang/Boolean@000000060A25E3E8
0,147381,147381,72,0,71504881,2162494,100,256879,java/lang/Boolean@000000060A25BDA8
0,127169,127169,72,0,70217258,2133803,100,297636,java/lang/Boolean@000000060A25E648
0,140019,140019,63,0,71560303,2168689,100,270491,java/lang/Boolean@000000060A25BD80
0,139661,139661,70,0,71721619,2174872,100,271149,java/lang/Boolean@000000060A25E198
0,153207,153207,77,0,70645291,2132982,100,247180,java/lang/Boolean@000000060A25DD70
0,121782,121782,108,0,70894773,2156295,100,311121,java/lang/Boolean@000000060A25B5A8
0,137530,137530,86,0,70492792,2136554,100,275228,java/lang/Boolean@000000060A2614D0
0,128526,128526,60,0,70700863,2147004,100,294596,java/lang/Boolean@000000060A25B638
0,132868,132868,78,0,69676251,2112172,100,284990,java/lang/Boolean@000000060A25B900
0,137478,137478,105,0,70474179,2137061,100,275411,java/lang/Boolean@000000060A25BA18
0,153184,153184,102,0,71312551,2154355,100,246968,java/lang/Boolean@000000060A25B600
0,127810,127810,69,0,71285585,2167047,100,296334,java/lang/Boolean@000000060A25E5B0
0,123767,123767,95,0,71848302,2185757,100,305799,java/lang/Boolean@000000060A25B568
0,145604,145604,100,0,69413628,2099203,100,260043,java/lang/Boolean@000000060A25B3A0
0,148340,148340,120,0,70391959,2128124,100,255041,java/lang/Boolean@000000060A25B698
0,125271,125271,90,0,69893437,2123423,100,302091,java/lang/Boolean@000000060A25BC18
0,136217,136217,72,0,69809121,2116564,100,277871,java/lang/Boolean@000000060A25DE90
0,141406,141406,81,0,68297381,2066630,100,267737,java/lang/Boolean@000000060A25B688
0,126773,126773,99,0,69594847,2114548,100,298495,java/lang/Boolean@000000060A261600
0,131041,131041,102,0,70104832,2127840,100,288852,java/lang/Boolean@000000060A25E068
0,134167,134167,191,0,71982069,2182897,100,282258,java/lang/Boolean@000000060A25BDF8
0,122452,122452,83,0,69795248,2122070,100,309209,java/lang/Boolean@000000060A25BEA0
0,126697,126697,60,0,70780636,2150578,100,298998,java/lang/Boolean@000000060A258978
0,130496,130496,84,0,71308809,2163398,100,290328,java/lang/Boolean@000000060A25BB10
0,125157,125157,87,0,71238710,2164582,100,302679,java/lang/Boolean@000000060A2616C0
0,147717,147717,76,0,71509193,2165620,100,256335,java/lang/Boolean@000000060A25E2B8
0,122477,122477,68,0,70453110,2142303,100,309115,java/lang/Boolean@000000060A25BBB8
0,121337,121337,96,0,70579693,2149013,100,312181,java/lang/Boolean@000000060A25E598
0,146002,146002,84,0,70334796,2127543,100,259241,java/lang/Boolean@000000060A2585C0
0,149125,149125,93,0,70698632,2136990,100,253727,java/lang/Boolean@000000060A25BDA8
0,153670,153670,109,0,71361140,2156606,100,246306,java/lang/Boolean@000000060A258958
0,144651,144651,80,0,71515949,2165383,100,261835,java/lang/Boolean@000000060A258558
0,146323,146323,71,0,70947031,2147488,100,258663,java/lang/Boolean@000000060A25DF00
0,122943,122943,69,0,68949108,2096388,100,308037,java/lang/Boolean@000000060A25BD10
0,140641,140641,87,0,70686413,2138990,100,269189,java/lang/Boolean@000000060A25E318
0,151248,151248,92,0,71486799,2158704,100,250273,java/lang/Boolean@000000060A258990
0,153064,153064,97,0,71465224,2158628,100,247323,java/lang/Boolean@000000060A25BA78
0,119206,119206,81,0,70245112,2136733,100,317646,java/lang/Boolean@000000060A2614F8
0,122806,122806,82,0,71125526,2162929,100,308401,java/lang/Boolean@000000060A25B958
0,137316,137316,108,0,71068780,2154461,100,275869,java/lang/Boolean@000000060A25E448
0,132011,132011,89,0,70859328,2150058,100,286896,java/lang/Boolean@000000060A258558
0,125951,125951,95,0,70571908,2144868,100,300460,java/lang/Boolean@000000060A261330
0,147465,147465,81,0,70541928,2136241,100,256722,java/lang/Boolean@000000060A258670
0,133695,133695,106,0,70952167,2152075,100,283174,java/lang/Boolean@000000060A2588F0
0,135463,135463,57,0,71110678,2159102,100,279673,java/lang/Boolean@000000060A258930
0,137746,137746,59,0,71215783,2158155,100,275005,java/lang/Boolean@000000060A25E1F8
0,136808,136808,63,0,70129197,2126204,100,276608,java/lang/Boolean@000000060A25E360
0,133062,133062,78,0,71046282,2154578,100,284654,java/lang/Boolean@000000060A25BD80
0,146262,146262,89,0,71051571,2151048,100,258709,java/lang/Boolean@000000060A258948
0,138593,138593,105,0,71161008,2159982,100,273289,java/lang/Boolean@000000060A25B568
0,119926,119926,57,0,71129393,2163501,100,315862,java/lang/Boolean@000000060A25B288
0,120059,120059,71,0,70972060,2159725,100,315612,java/lang/Boolean@000000060A25E220
0,150748,150748,82,0,69284406,2090640,100,250953,java/lang/Boolean@000000060A25BB20
0,119359,119359,113,0,70470616,2144512,100,317335,java/lang/Boolean@000000060A25BCB0
0,148502,148502,81,0,71751767,2173558,100,254908,java/lang/Boolean@000000060A25BED8
0,130804,130804,67,0,70006010,2125664,100,289362,java/lang/Boolean@000000060A25B5F0

